price,gameNumber,gameURL,gamePhoto,overallodds,startDate,endDate,lastdatetoclaim,extrachances,secondChance,dateexported,topprize,topprizeavail,gameName,Winning Tickets At Start,Winning Tickets Unclaimed,topprizestarting,topprizeremain,Total at start,Total remaining,Non-prize at start,Non-prize remaining,topprizeodds,Current Odds of Top Prize,Change in Current Odds of Top Prize,Current Odds of Any Prize,Change in Current Odds of Any Prize,Odds of Profit Prize,Starting Odds of Profit Prize,Change in Odds of Profit Prize,Probability of Winning Any Prize,Starting Probability of Winning Any Prize,Change in Probability of Any Prize,Probability of Winning Profit Prize,Starting Probability of Winning Profit Prize,Change in Probability of Profit Prize,StdDev of All Prizes,StdDev of Profit Prizes,Odds of Any Prize + 3 StdDevs,Odds of Profit Prize + 3 StdDevs,Max Tickets to Buy,Expected Value of Any Prize (as % of cost),Change in Expected Value of Any Prize,Expected Value of Profit Prize (as % of cost),Change in Expected Value of Profit Prize,Percent of Prizes Remaining,Percent of Profit Prizes Remaining,Ratio of Decline in Prizes to Decline in Losing Ticket,Photo,FAQ,About,Directory,Data Date,Days Since Start,Rank by Best Probability of Winning Any Prize,Rank by Best Probability of Winning Profit Prize,Rank by Least Expected Losses,Rank by Most Available Prizes,Rank by Best Change in Probabilities,Rank Average,Overall Rank,Rank by Cost,Stats Page
5,7645,https://www.illinoislottery.com/games-hub/instant-tickets/electric-cash,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/february/logos/26-0245_WebApp_INT_NewTicketAsset_Feb26_TicketLogos_IL-7645_Logo.png,4.28,"February 3, 2026",,,,,2026-04-13,400000,,ELECTRIC CA$H,665991,665991,2,2,2850441.48,2850441.48,2184450.48,2184450.48,1425220.74,1425220.74,0.0,4.28,-1.6839496733690066e-07,7.1,7.098895981152234,0.0,0.23364489915770928,0.23364489915770928,0.0,0.1408669746190151,0.1408669746190151,0.0,0.029666167007193132,0.020223377535327398,11.235954735087532,16.481898252354434,8.0,0.49,0.0,0.48605356153661833,0.0,1.0,1.0,,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/february/logos/26-0245_WebApp_INT_NewTicketAsset_Feb26_TicketLogos_IL-7645_Logo.png,,,,2026-04-13,69,31.333333333333332,31.0,34.0,,29.75,31.520833333333332,44.0,12.0,/illinois-statistics-for-each-scratcher-game
2,7635,https://www.illinoislottery.com/games-hub/instant-tickets/10x-xtra,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/january/logos/26-0227_WebApp_INT_NewTicketAsset_Jan26_TicketLogos_IL-7635_Logo.png,4.45,"January 6, 2026",,,,,2026-04-13,50000,,10X XTRA,1124419,1124419,4,4,5003664.55,5003664.55,3879245.55,3879245.55,1250916.1375,1250916.1375,0.0,4.45,-1.0991943894415333e-07,7.22,7.221242616274287,0.0,0.22471912582459574,0.22471912582459574,0.0,0.13848032162031662,0.13848032162031662,0.0,0.028014551761160647,0.019132990485758727,11.89845223604411,17.42147693755121,8.0,0.45,0.0,0.4514768577586345,0.0,1.0,1.0,,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/january/logos/26-0227_WebApp_INT_NewTicketAsset_Jan26_TicketLogos_IL-7635_Logo.png,,,,2026-04-13,97,34.0,33.333333333333336,18.0,,26.583333333333332,27.979166666666668,29.0,5.0,/illinois-statistics-for-each-scratcher-game
20,7638,https://www.illinoislottery.com/games-hub/instant-tickets/100x-xtra,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/january/logos/26-0227_WebApp_INT_NewTicketAsset_Jan26_TicketLogos_IL-7638_Logo.png,3.58,"January 6, 2026",,,,,2026-04-13,1200000,,100X XTRA,954799,954799,2,2,3418180.42,3418180.42,2463381.42,2463381.42,1709090.21,1709090.21,0.0,3.58,-1.2287239072264492e-07,5.59,5.586174211472462,0.0,0.27932964326044857,0.27932964326044857,0.0,0.17901339309223036,0.17901339309223036,0.0,0.03198207626920041,0.022446567597103888,10.42239071438299,14.849720006712712,6.0,0.5,0.0,0.49910771229133627,0.0,1.0,1.0,,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/january/logos/26-0227_WebApp_INT_NewTicketAsset_Jan26_TicketLogos_IL-7638_Logo.png,,,,2026-04-13,97,28.666666666666668,29.0,39.0,,33.083333333333336,32.4375,46.0,6.0,/illinois-statistics-for-each-scratcher-game
5,7636,https://www.illinoislottery.com/games-hub/instant-tickets/25x-xtra,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/january/logos/26-0227_WebApp_INT_NewTicketAsset_Jan26_TicketLogos_IL-7636_Logo.png,4.28,"January 6, 2026",,,,,2026-04-13,500000,,25X XTRA,1396624,1396624,2,2,5977550.720000001,5977550.720000001,4580926.720000001,4580926.720000001,2988775.3600000003,2988775.3600000003,0.0,4.28,-1.2045067186651867e-07,7.08,7.083571820477543,0.0,0.23364488795576782,0.23364488795576782,0.0,0.14117171750968205,0.14117171750968205,0.0,0.02956947473820851,0.020179640124755458,11.272795536532223,16.517975866313723,8.0,0.47,0.0,0.4673667305166832,0.0,1.0,1.0,,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/january/logos/26-0227_WebApp_INT_NewTicketAsset_Jan26_TicketLogos_IL-7636_Logo.png,,,,2026-04-13,97,31.666666666666668,31.333333333333332,23.0,,28.083333333333332,28.520833333333332,32.0,7.0,/illinois-statistics-for-each-scratcher-game
10,7637,https://www.illinoislottery.com/games-hub/instant-tickets/50x-xtra,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/january/logos/26-0227_WebApp_INT_NewTicketAsset_Jan26_TicketLogos_IL-7637_Logo.png,3.64,"January 6, 2026",,,,,2026-04-13,600000,,50X XTRA,1368787,1368787,2,2,4982384.680000001,4982384.680000001,3613597.6800000006,3613597.6800000006,2491192.3400000003,2491192.3400000003,0.0,3.64,-1.3648083078828114e-07,6.36,6.362458513761491,0.0,0.27472531222001356,0.27472531222001356,0.0,0.15717194820792615,0.15717194820792615,0.0,0.03975178345486642,0.02758119709301133,8.385316640717477,12.085341615857114,8.0,0.47,0.0,0.47198489718977904,0.0,1.0,1.0,,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/january/logos/26-0227_WebApp_INT_NewTicketAsset_Jan26_TicketLogos_IL-7637_Logo.png,,,,2026-04-13,97,22.0,25.0,25.0,,27.75,24.9375,15.0,3.0,/illinois-statistics-for-each-scratcher-game
1,7634,https://www.illinoislottery.com/games-hub/instant-tickets/5x-xtra,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/january/logos/26-0227_WebApp_INT_NewTicketAsset_Jan26_TicketLogos_IL-7634_Logo.png,4.97,"January 6, 2026",,,,,2026-04-13,20000,,5X XTRA,1133825,1133825,3,3,5635110.25,5635110.25,4501285.25,4501285.25,1878370.0833333333,1878370.0833333333,0.0,4.97,-4.436470417504765e-08,8.89,8.886195836263802,0.0,0.20120725238726483,0.20120725238726483,0.0,0.11253409427677544,0.11253409427677544,0.0,0.029099583884584966,0.01916806067273738,11.454801795688264,17.389562684203874,11.0,0.44,0.0,0.4435595755894739,0.0,1.0,1.0,,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/january/logos/26-0227_WebApp_INT_NewTicketAsset_Jan26_TicketLogos_IL-7634_Logo.png,,,,2026-04-13,97,33.0,33.0,13.0,,26.083333333333332,26.270833333333332,23.0,3.0,/illinois-statistics-for-each-scratcher-game
25,7639,https://www.illinoislottery.com/games-hub/instant-tickets/1000000-crossword-50x,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2025/december/26-0196_WebApp_INT_Dec25_NewTicketAssets_TicketLogos_IL-7639_Logo.png,2.97,"December 2, 2025",,,,,2026-04-13,1000000,,"$1,000,000 CROSSWORD 50X",515100,515100,1,1,1529847.0,1529847.0,1014747.0,1014747.0,1529847.0,1529847.0,0.0,2.97,0.0,5.38,5.3849080778179435,0.0,0.3367003367003367,0.3367003367003367,0.0,0.1857041913341661,0.1857041913341661,0.0,0.043474650773734864,0.02823020161815328,7.667189173055879,11.807194453004312,6.0,0.43,0.0,0.42962008619162567,0.0,1.0,1.0,,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2025/december/26-0196_WebApp_INT_Dec25_NewTicketAssets_TicketLogos_IL-7639_Logo.png,,,,2026-04-13,132,20.333333333333332,24.666666666666668,7.0,,24.833333333333332,19.208333333333332,2.0,1.0,/illinois-statistics-for-each-scratcher-game
10,7640,https://www.illinoislottery.com/games-hub/instant-tickets/250000-crossword,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2025/december/26-0196_WebApp_INT_Dec25_NewTicketAssets_TicketLogos_IL-7640_Logo.png,3.7,"December 2, 2025",,,,,2026-04-13,250000,,"$250,000 CROSSWORD",1360364,1360364,6,6,5033346.8,5033346.8,3672982.8,3672982.8,838891.1333333333,838891.1333333333,0.0,3.7,-1.5893997217452314e-07,5.65,5.64836227831169,0.0,0.2702703132270263,0.2702703132270263,0.0,0.17704246836994714,0.17704246836994714,0.0,0.037384120271095035,0.03174667009224712,8.916383376493007,10.499665156401356,7.0,0.48,0.0,0.4816666686534166,0.0,1.0,1.0,,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2025/december/26-0196_WebApp_INT_Dec25_NewTicketAssets_TicketLogos_IL-7640_Logo.png,,,,2026-04-13,132,23.333333333333332,22.0,30.0,,28.583333333333332,25.979166666666664,21.0,5.0,/illinois-statistics-for-each-scratcher-game
5,7641,https://www.illinoislottery.com/games-hub/instant-tickets/100000-crossword,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2025/december/26-0196_WebApp_INT_Dec25_NewTicketAssets_TicketLogos_IL-7641_Logo.png,3.92,"December 2, 2025",,,,,2026-04-13,100000,,"$100,000 CROSSWORD",1042816,1042816,3,3,4087838.7199999997,4087838.7199999997,3045022.7199999997,3045022.7199999997,1362612.9066666665,1362612.9066666665,0.0,3.92,-1.7613219341067076e-07,6.56,6.564835944864756,0.0,0.25510208574801646,0.25510208574801646,0.0,0.15232673114736933,0.15232673114736933,0.0,0.03175639973450209,0.021234416788639066,10.496466254137093,15.69739040217737,8.0,0.45,0.0,0.45431227949835584,0.0,1.0,1.0,,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2025/december/26-0196_WebApp_INT_Dec25_NewTicketAssets_TicketLogos_IL-7641_Logo.png,,,,2026-04-13,132,29.0,30.666666666666668,19.0,,24.583333333333332,25.8125,18.0,2.0,/illinois-statistics-for-each-scratcher-game
5,7633,https://www.illinoislottery.com/games-hub/instant-tickets/emerald-7s-2025,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2025/december/26-0196_WebApp_INT_Dec25_NewTicketAssets_TicketLogos_IL-7633_Logo.png,4.31,"December 2, 2025",,,,,2026-04-13,400000,,EMERALD 7S,242730,242730,1,1,1046166.2999999999,1046166.2999999999,803436.2999999999,803436.2999999999,1046166.2999999999,1046166.2999999999,0.0,4.31,-2.8676129210311285e-07,6.44,6.443614996581608,0.0,0.23201862801888037,0.23201862801888037,0.0,0.1551923882060782,0.1551923882060782,0.0,0.03258064889247059,0.028280587506473595,10.23059071324593,11.785792497373757,8.0,0.48,0.0,0.4849364250032978,0.0,1.0,1.0,,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2025/december/26-0196_WebApp_INT_Dec25_NewTicketAssets_TicketLogos_IL-7633_Logo.png,,,,2026-04-13,132,27.666666666666668,24.333333333333332,33.0,,28.083333333333332,28.270833333333332,31.0,6.0,/illinois-statistics-for-each-scratcher-game
2,7632,https://www.illinoislottery.com/games-hub/instant-tickets/monopoly,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2025/december/26-0196_WebApp_INT_Dec25_NewTicketAssets_TicketLogos_IL-7632_Logo.png,4.45,"December 2, 2025",,,,,2026-04-13,20000,,MONOPOLY,927157,927157,4,4,4125848.6500000004,4125848.6500000004,3198691.6500000004,3198691.6500000004,1031462.1625000001,1031462.1625000001,0.0,4.45,-1.5754334565998034e-07,7.04,7.0428716036864625,0.0,0.2247191365266001,0.2247191365266001,0.0,0.14198753807702078,0.14198753807702078,0.0,0.025675302634562826,0.018623981299895426,12.9824629760604,17.897523853999026,8.0,0.44,0.0,0.4409935848339541,0.0,1.0,1.0,,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2025/december/26-0196_WebApp_INT_Dec25_NewTicketAssets_TicketLogos_IL-7632_Logo.png,,,,2026-04-13,132,35.333333333333336,33.666666666666664,12.0,,22.75,25.9375,19.5,3.0,/illinois-statistics-for-each-scratcher-game
20,7624,https://www.illinoislottery.com/games-hub/instant-tickets/2000000-maximum-multiplier,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/january/26-0210_WebApp_INT_Dec25_NewTicketAssets_MultiplierUpdate_TicketLogos_IL-7624.jpg,3.85,"November 17, 2025",,,,,2026-04-13,1200000,,"$2,000,000 MAXIMUM MULTIPLIER",667779,667779,2,2,2570949.15,2570949.15,1903170.15,1903170.15,1285474.575,1285474.575,0.0,3.85,-5.83442111939298e-08,5.18,5.182476793291472,0.0,0.25974027489460116,0.25974027489460116,0.0,0.19295793109859433,0.19295793109859433,0.0,0.025805886372999184,0.02259993912978985,12.916699737546445,14.748863757844275,6.0,0.53,0.0,0.5280416881081655,0.0,1.0,1.0,,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2026/january/26-0210_WebApp_INT_Dec25_NewTicketAssets_MultiplierUpdate_TicketLogos_IL-7624.jpg,,,,2026-04-13,147,35.0,28.333333333333332,43.0,,35.75,35.52083333333333,54.0,9.0,/illinois-statistics-for-each-scratcher-game
10,7631,https://www.illinoislottery.com/games-hub/instant-tickets/bonus-blowout-2025,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/all-top-prizes-won/2025/november/IL-7631_Amazing_Bonus_Blowout_Logo_ATPW.png,9.49,"November 4, 2025",,,,,2026-04-13,500,,BONUS BLOWOUT,689223,689223,8206,8206,6540726.2700000005,6540726.2700000005,5851503.2700000005,5851503.2700000005,797.0663258591276,797.0663258591276,0.0,9.49,-4.1279819557910084e-08,9.49,9.489999608254513,0.0,0.1053740823266408,0.1053740823266408,0.0,0.1053740823266408,0.1053740823266408,0.0,0.03480252564520968,0.03480252564520968,9.57771584164222,9.57771584164222,14.0,0.64,0.0,0.6446000031189199,0.0,1.0,1.0,,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/all-top-prizes-won/2025/november/IL-7631_Amazing_Bonus_Blowout_Logo_ATPW.png,,,,2026-04-13,160,26.333333333333332,21.0,50.0,,38.583333333333336,33.979166666666664,48.0,9.0,/illinois-statistics-for-each-scratcher-game
3,7630,https://www.illinoislottery.com/games-hub/instant-tickets/winter-wonders,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2025/november/IL-7630_ITVM_Winter_Wonders_Logo@2x.png,4.65,"November 4, 2025",,,,,2026-04-13,80000,,WINTER WONDERS,256284,256284,1,1,1191720.6,1191720.6,935436.6000000001,935436.6000000001,1191720.6,1191720.6,0.0,4.65,-5.034737169109443e-07,7.82,7.822456776023,0.0,0.21505387171483234,0.21505387171483234,0.0,0.12783707582317994,0.12783707582317994,0.0,0.017290119561641757,0.008922675481952068,19.27738320148464,37.348843927691554,8.0,0.44,0.0,0.44395271820002463,0.0,1.0,1.0,,https://www.illinoislottery.com/content/dam/il/cil-instants-ticket/2025/november/IL-7630_ITVM_Winter_Wonders_Logo@2x.png,,,,2026-04-13,160,36.333333333333336,36.333333333333336,14.0,,20.583333333333332,26.8125,25.0,4.0,/illinois-statistics-for-each-scratcher-game
