,gameNumber,price,topprize,overallodds,topprizeavail,gameURL,gamePhoto,dateexported,startDate,extrachances,secondChance,lastdatetoclaim,gameName,Winning Tickets Unclaimed,Winning Tickets At Start,topprizestarting,topprizeremain,Total at start,Total remaining,Non-prize at start,Non-prize remaining,topprizeodds,Current Odds of Top Prize,Change in Current Odds of Top Prize,Current Odds of Any Prize,Change in Current Odds of Any Prize,Odds of Profit Prize,Starting Odds of Profit Prize,Change in Odds of Profit Prize,Probability of Winning Any Prize,Starting Probability of Winning Any Prize,Change in Probability of Any Prize,Probability of Winning Profit Prize,Starting Probability of Winning Profit Prize,Change in Probability of Profit Prize,StdDev of All Prizes,StdDev of Profit Prizes,Odds of Any Prize + 3 StdDevs,Odds of Profit Prize + 3 StdDevs,Max Tickets to Buy,Expected Value of Any Prize (as % of cost),Change in Expected Value of Any Prize,Expected Value of Profit Prize (as % of cost),Change in Expected Value of Profit Prize,Percent of Prizes Remaining,Percent of Profit Prizes Remaining,Ratio of Decline in Prizes to Decline in Losing Ticket,Photo,FAQ,About,Directory,Data Date,Days Since Start,Rank by Best Probability of Winning Any Prize,Rank by Best Probability of Winning Profit Prize,Rank by Least Expected Losses,Rank by Most Available Prizes,Rank by Best Change in Probabilities,Rank Average,Overall Rank,Rank by Cost,Stats Page
10,1626,5.0,500,9.78,Yes,https://floridalottery.com/games/scratch-offs/view?id=1626,https://floridalottery.com/content/dam/flalottery-web/images/games/scratch-offs/bonus-blowout/fl-1626-bonus-blowout.png/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,2026-06-17,,No,No,,Bonus Blowout,707541,1877897,6116.0,2289.0,18365832.66,6919750.9799999995,16487935.66,6212209.9799999995,3023.045425950196,3023.045425950196,0.0,9.78,-1.4162359337981117e-07,9.78,9.779999648543024,-1.0568730111212357e-07,0.10224950323349832,0.10224949242702427,-1.0806474048941084e-08,0.10224950323349832,0.10224949242702427,-1.0806474048941084e-08,0.036939072843653664,0.036939072843653664,9.023753344233327,9.023753344233327,15.0,0.6,-0.17956940514157055,0.6026892590050219,-0.17956940514157055,0.38,0.375790301131584,-0.23212814812331892,,,,,2026-06-17,,48.333333333333336,33.333333333333336,83.0,55.333333333333336,48.5,53.7,75.0,22.0,/florida-statistics-for-each-scratcher-game
11,1617,3.0,150000,4.17,Yes,https://floridalottery.com/games/scratch-offs/view?id=1617,https://floridalottery.com/content/dam/flalottery-web/images/games/scratch-offs/bonus-box-bingo/fl-1617-BONUS-BOX-BINGO-ticket.png/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,2026-06-17,,No,No,,BONUS BOX BINGO,2839806,4830173,4.0,2.0,20141821.41,11841991.02,15311648.41,9002185.02,5920995.51,5920995.51,0.0,4.17,-1.6889051308556471e-09,8.37,8.345392177254357,0.0032491469476708195,0.23980815388223145,0.23980815835867075,4.476439302569801e-09,0.11943853022688498,0.11982660356280596,0.00038807333592097426,0.025975091015482406,0.01025062714658869,12.832749145731288,32.51758795376527,9.0,0.45,-0.25438089259127417,0.45001089766070584,-0.25438089259127417,0.58,0.5782714308417917,-0.2838589079180321,,,,,2026-06-17,,59.0,58.666666666666664,55.0,64.0,54.5,58.23333333333333,85.0,6.0,/florida-statistics-for-each-scratcher-game
12,1557,5.0,1000000,4.0,Yes,https://floridalottery.com/games/scratch-offs/view?id=1557,https://floridalottery.com/content/dam/flalottery-web/images/games/scratch-offs/bonus-letter-crossword/fl-1557-bonus-letter-crossword-ticket.png/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,2026-06-17,,No,No,,Bonus Letter Crossword,465305,5608817,10.0,1.0,22435268.0,1861220.0,16826451.0,1395915.0,1861220.0,1861220.0,0.0,4.0,0.0,8.68,6.663303028314022,0.30238555190875854,0.25,0.25,0.0,0.11523140735646512,0.15007572006717282,0.0348443127107077,0.04103671886624837,0.022856753895069172,8.122664863572846,14.582589917707221,11.0,0.39,-0.15986782179362627,0.3899485283846079,-0.15986782179362627,0.06,0.060460516446207986,1.3724826869057691,,,,,2026-06-17,,41.333333333333336,49.333333333333336,26.0,26.0,55.666666666666664,39.66666666666667,25.0,7.0,/florida-statistics-for-each-scratcher-game
13,1606,5.0,1000000,3.94,Yes,https://floridalottery.com/games/scratch-offs/view?id=1606,https://floridalottery.com/content/dam/flalottery-web/images/games/scratch-offs/break-the-bank/fl-1606-BREAK-THE-BANK-ticket.png/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,2026-06-17,,No,No,,Break The Bank,202085,3623316,4.0,1.0,14275865.04,796214.9,10652549.04,594129.9,796214.9,796214.9,0.0,3.94,-1.1303481007372414e-06,7.77,6.504806658331298,0.19522263767541925,0.25380739348968995,0.25380710731013495,-2.8617955499798953e-07,0.1286224557719407,0.15373247085202893,0.025110015080088227,0.039866720528427095,0.025185849515733817,8.360846790041583,13.23323482957119,10.0,0.55,-0.14128954212487177,0.5486200945976835,-0.14128954212487177,0.06,0.05641645355285368,1.21015478040764,,,,,2026-06-17,,43.333333333333336,43.333333333333336,79.0,21.0,46.666666666666664,46.66666666666667,57.0,17.0,/florida-statistics-for-each-scratcher-game
14,1604,50.0,500000,4.08,Yes,https://floridalottery.com/games/scratch-offs/view?id=1604,"https://floridalottery.com/content/dam/flalottery-web/images/games/scratch-offs/$500,000-cash-blowout/fl-1604-$500000-cash-blowout-ticket@2x.png/jcr:content/renditions/cq5dam.web.1280.1280.jpeg",2026-06-17,,No,No,,"$500,000 CASH BLOWOUT!",3432737,6496097,100.0,54.0,26504075.76,14005566.96,20007978.76,10572829.96,259362.35111111111,259362.35111111111,0.0,4.08,-6.854417273423369e-08,4.08,4.079999883006673,-3.986933882204079e-08,0.24509805601572976,0.24509804624383233,-9.771897430121967e-09,0.24509805601572976,0.24509804624383233,-9.771897430121967e-09,0.07573832331813186,0.07573832331813186,4.401112823246206,4.401112823246206,6.0,0.54,-0.01507594239676394,0.5413040072782492,-0.01507594239676394,0.54,0.5352758599632442,-0.4079329710263136,,,,,2026-06-17,,30.0,30.0,78.0,61.333333333333336,52.166666666666664,50.3,66.5,2.0,/florida-statistics-for-each-scratcher-game
15,1605,3.0,150000,3.91,Yes,https://floridalottery.com/games/scratch-offs/view?id=1605,https://floridalottery.com/content/dam/flalottery-web/images/games/scratch-offs/crossword-bonus/fl-1605-$150000-CROSSWORD-BONUS-ticket.png/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,2026-06-17,,No,No,,"$150,000 CROSSWORD BONUS",3094473,5915166,8.0,4.0,23128299.060000002,12099389.43,17213133.060000002,9004916.43,3024847.3575,3024847.3575,0.0,3.91,-3.553898340717232e-08,6.51,6.421716215345726,0.013285969949091852,0.2557544847925792,0.2557544763668093,-8.425769859599086e-09,0.15367982631189062,0.15572161186605207,0.002041785554161457,0.03187531326142117,0.021688447835775337,10.457378226902952,15.36903796472998,8.0,0.43,-0.2500029367915241,0.4303167980906584,-0.2500029367915241,0.51,0.5115002626951826,-0.4561111395885951,,,,,2026-06-17,,57.333333333333336,53.0,45.0,59.666666666666664,48.166666666666664,52.63333333333334,72.0,4.0,/florida-statistics-for-each-scratcher-game
16,1539,20.0,5000000,2.9,Yes,https://floridalottery.com/games/scratch-offs/view?id=1539,https://floridalottery.com/content/dam/flalottery-web/images/games/scratch-offs/crossword-cash/fl-1499-crossword-cash-teaser.png/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,2026-06-17,,No,No,,$5MM Crossword Cash,1443192,8319457,6.0,1.0,24126425.3,4185256.8,15806968.3,2742064.8,4185256.8,4185256.8,0.0,2.9,-1.9114717165413416e-07,5.92,5.608597419709389,0.05577014198763442,0.344827652119727,0.3448275904946547,-6.162507226736835e-08,0.16887927524624538,0.17829769640549728,0.0094184211592519,0.049305333237678536,0.021286570649648926,6.7605621940091005,15.658978326460726,7.0,0.41,-0.034194397035283264,0.41224491405065783,-0.034194397035283264,0.16,0.15923741473030514,1.6632633488308866,,,,,2026-06-17,,35.666666666666664,54.0,34.0,42.666666666666664,34.833333333333336,40.233333333333334,28.0,4.0,/florida-statistics-for-each-scratcher-game
17,1608,30.0,15000000,2.61,Yes,https://floridalottery.com/games/scratch-offs/view?id=1608,https://floridalottery.com/content/dam/flalottery-web/images/games/scratch-offs/diamond-spectacular/fl-1608-$15000000-DIAMOND-SPECTACULAR-ticket.png/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,2026-06-17,,No,No,,"$15,000,000 DIAMOND SPECTACULAR",3675103,7445514,2.0,1.0,19432791.54,9592018.83,11987277.54,5916915.83,9592018.83,9592018.83,0.0,2.61,-8.653027209191707e-08,4.63,4.624478898699192,0.001196858837432807,0.3831417956054711,0.3831417730988822,-2.250658892588575e-08,0.2159820801003501,0.21624058016164532,0.00025850006129521375,0.051911626967971164,0.032752799444777964,6.421157848459907,10.177197109614681,5.0,0.42,-0.02042171952310925,0.41526781260557827,-0.02042171952310925,0.52,0.5177224267577282,-1.7565357437023175,,,,,2026-06-17,,34.0,35.666666666666664,36.0,55.333333333333336,32.666666666666664,38.733333333333334,23.0,2.0,/florida-statistics-for-each-scratcher-game
18,1618,10.0,2000000,3.24,Yes,https://floridalottery.com/games/scratch-offs/view?id=1618,https://floridalottery.com/content/dam/flalottery-web/images/games/scratch-offs/double-diamond-cashword/fl-1618-DOUBLE-DIAMOND-CASHWORD-ticket.png/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,2026-06-17,,No,No,,DOUBLE DIAMOND CASHWORD,4111530,7490609,4.0,3.0,24269573.16,13321357.200000001,16778964.16,9209827.200000001,4440452.4,4440452.4,0.0,3.24,-1.5013485379465634e-08,7.1,7.048119727793168,0.007737625690574488,0.3086419799424338,0.3086419773434003,-2.5990334884262722e-09,0.14079241326540531,0.1418818122593257,0.0010893989939203819,0.052706106089394654,0.0291891583301815,6.324368186744859,11.419695627590983,9.0,0.44,-0.06863917685186674,0.43698746306401065,-0.06863917685186674,0.56,0.5572013254854637,-0.5795275323166084,,,,,2026-06-17,,33.333333333333336,38.333333333333336,50.0,60.666666666666664,50.666666666666664,46.6,54.0,9.0,/florida-statistics-for-each-scratcher-game
19,5061,5.0,1000000,5.67,Yes,https://floridalottery.com/games/scratch-offs/view?id=5061,https://floridalottery.com/content/dam/flalottery-web/images/games/scratch-offs/double-your-money/fl-5059-the-cash-wheel-ticket.png/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,2026-06-17,,No,No,,Double Your Money,130166,2694415,4.0,1.0,15277333.049999999,738041.22,12582918.049999999,607875.22,738041.22,738041.22,0.0,5.67,-2.980863317889514e-07,5.67,5.669999981443096,-2.948135102548231e-07,0.17636689560607066,0.17636684361072708,-5.1995343586241916e-08,0.17636689560607066,0.17636684361072708,-5.1995343586241916e-08,0.043063879536222316,0.043063879536222316,7.73997875094453,7.73997875094453,8.0,0.68,-0.15657901075373776,0.6760139341852283,-0.15657901075373776,0.06,0.059233110078752316,1.3107151291113048,,,,,2026-06-17,,38.666666666666664,32.0,87.0,23.666666666666668,40.5,44.36666666666666,45.0,12.0,/florida-statistics-for-each-scratcher-game
20,5057,2.0,50000,4.41,Yes,https://floridalottery.com/games/scratch-offs/view?id=5057,https://floridalottery.com/content/dam/flalottery-web/images/games/scratch-offs/easy-money/fl-5057-easy-money-ticket.webp/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,2026-06-17,,No,No,,Easy Money,971625,3391813,8.0,3.0,14957895.33,4284866.25,11566082.33,3313241.25,1428288.75,1428288.75,0.0,4.41,-5.834487843728101e-08,8.21,7.889563792355013,0.040934636772633426,0.2267573828446444,0.2267573746172172,-8.227427183982172e-09,0.12176530141199281,0.12674971979680297,0.00498441838481016,0.03485516803523141,0.022972575629338434,9.563289212635715,14.50965136926961,10.0,0.44,-0.39292452634903335,0.4427580699139716,-0.39292452634903335,0.28,0.2793852295341856,-2.7100160908703064,,,,,2026-06-17,,53.666666666666664,49.0,52.0,37.666666666666664,52.0,48.86666666666666,63.0,15.0,/florida-statistics-for-each-scratcher-game
21,5055,5.0,500000,4.0,Yes,https://floridalottery.com/games/scratch-offs/view?id=5055,https://floridalottery.com/content/dam/flalottery-web/images/games/scratch-offs/emerald-mine-9x/fl-5055-emerald-mine-9x-teaser.png/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,2026-06-17,,No,No,,Emerald Mine 9X,461358,5661431,10.0,1.0,22645724.0,1845432.0,16984293.0,1384074.0,1845432.0,1845432.0,0.0,4.0,0.0,6.98,6.663762502799162,0.04739900789598356,0.25,0.25,0.0,0.1432743119226284,0.15006537216474067,0.006791060242112262,0.03945753128485832,0.03073265030408098,8.44774670239867,10.845783124371707,9.0,0.45,-0.14997611611638764,0.4544708230918289,-0.14997611611638764,0.08,0.08412740587573946,1.3627029252366156,,,,,2026-06-17,,43.666666666666664,37.666666666666664,59.0,28.666666666666668,61.5,46.099999999999994,49.5,14.0,/florida-statistics-for-each-scratcher-game
22,1624,1.0,5000,4.84,Yes,https://floridalottery.com/games/scratch-offs/view?id=1624,https://floridalottery.com/content/dam/flalottery-web/images/games/scratch-offs/fast-$50/fl-1624-fast-50s.png/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,2026-06-17,,No,No,,Fast $50's,767369,2360101,12.0,3.0,11422888.84,3714065.96,9062787.84,2946696.96,1238021.9866666666,1238021.9866666666,0.0,4.84,-2.584768311232507e-07,8.91,8.572594595527617,0.039743515190676405,0.20661162365225164,0.20661158544144004,-3.821081159816053e-08,0.11219189755698944,0.11665079794181646,0.004458900384827019,0.03468806709965729,0.02445544835136071,9.60933217261904,13.629782013275738,11.0,0.38,-0.8143539366778308,0.37602519072767976,-0.8143539366778308,0.29,0.28417042062498915,-1.1763473770351354,,,,,2026-06-17,,54.0,45.0,20.0,42.0,26.666666666666668,37.53333333333333,19.0,4.0,/florida-statistics-for-each-scratcher-game
23,5060,2.0,50000,4.07,No,https://floridalottery.com/games/scratch-offs/view?id=5060,https://floridalottery.com/content/dam/flalottery-web/images/games/scratch-offs/find-the-7s/fl-5060-find-the-7s-ticket_2.png/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,2026-06-17,,No,No,,FIND the 7s,492532,3497105,8.0,0.0,14233217.350000001,2004605.2400000002,10736112.350000001,1512073.2400000002,,,,4.07,-1.1972432043849788e-07,8.13,7.5557847082762,0.07607044814731859,0.24570027511654416,0.24570025174210441,-2.3374439744872078e-08,0.12299280905714592,0.1323489271610206,0.00935611810387467,0.040932473477727625,0.025106186380211823,8.143358897994972,13.276225193932351,10.0,0.39,-0.394407686318895,0.38640131098146524,-0.394407686318895,0.11,0.10978593314824177,2.0131142378559463,,,,,2026-06-17,,41.666666666666664,44.0,23.0,38.666666666666664,,36.83333333333333,16.0,4.0,/florida-statistics-for-each-scratcher-game
24,5048,30.0,15000000,2.93,Yes,https://floridalottery.com/games/scratch-offs/view?id=5048,https://floridalottery.com/content/dam/flalottery-web/images/games/scratch-offs/florida-x-the-cash/fl-5044-florida-10x-the-cash-ticket-teaser.png/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,2026-06-17,,No,No,,Florida 300X the Cash,1131688,15972027,4.0,1.0,46798039.11,3315845.8400000003,30826012.11,2184157.8400000003,3315845.8400000003,3315845.8400000003,0.0,2.93,-2.5332902692527494e-07,4.94,4.80877228748703,0.02744028971971602,0.3412970147880857,0.3412969291298723,-8.56582134112216e-08,0.2023993883911944,0.20795328624774212,0.005553897856547724,0.05599561908932096,0.04602269640396007,5.952815334144209,7.242725048137518,6.0,0.56,-0.019065563511277497,0.5598462332628134,-0.019065563511277497,0.09,0.09322445993358341,1.1725762951259708,,,,,2026-06-17,,31.666666666666668,31.666666666666668,81.0,27.666666666666668,46.0,43.6,42.0,3.0,/florida-statistics-for-each-scratcher-game
25,1632,3.0,150000,3.99,Yes,https://floridalottery.com/games/scratch-offs/view?id=1632,https://floridalottery.com/content/dam/flalottery-web/images/games/scratch-offs/gold-mine/fl-1632-gold-mine-ticket.png/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,2026-06-17,,No,No,,Gold Mine,2838218,3550668,4.0,4.0,14167165.32,11324489.82,10616497.32,8486271.82,2831122.455,2831122.455,0.0,3.99,-7.240944307532311e-08,7.68,7.648769176364515,0.0036705243193966876,0.25062658456377146,0.2506265720770528,-1.248671865905493e-08,0.1302618599391107,0.13073998926390706,0.0004781293247963503,0.03510075285326742,0.01981287340701362,9.496440700894354,16.82388641271673,9.0,0.44,-0.24981225016155817,0.44444368895291136,-0.24981225016155817,0.81,0.8079271707033472,-0.09164733790500192,,,,,2026-06-17,,52.333333333333336,55.666666666666664,54.0,71.0,43.166666666666664,55.233333333333334,82.0,5.0,/florida-statistics-for-each-scratcher-game
